id,timestamp,datestamp,business_id,order_source,order_status,external_order_id,external_customer_id,product_source,product_id,variant_id,category,vendor,quantity,price,cost,total
997642,1706199637,2024-01-25T10:20:37-06:00,1291,Shopify,placed,5535454068818,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1344802,1705743706,2024-01-20T03:41:46-06:00,1328,Shopify,placed,5380093083840,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019388,1705651487,2024-01-19T02:04:47-06:00,1291,Shopify,placed,5526554247250,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
1342587,1704966457,2024-01-11T03:47:37-06:00,1328,Shopify,placed,5369448595648,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
997643,1704505604,2024-01-05T19:46:44-06:00,1291,Shopify,placed,5507111419986,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1019389,1704441817,2024-01-05T02:03:37-06:00,1291,Shopify,placed,5505969815634,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997644,1703695759,2023-12-27T10:49:19-06:00,1291,Shopify,placed,5493028618322,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1344804,1703324552,2023-12-23T03:42:32-06:00,1328,Shopify,placed,5344825540800,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1342588,1702547580,2023-12-14T03:53:00-06:00,1328,Shopify,placed,5331676037312,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
997645,1702230825,2023-12-10T11:53:45-06:00,1291,Shopify,placed,5453104939090,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1019390,1702022619,2023-12-08T02:03:39-06:00,1291,Shopify,placed,5447151157330,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997646,1700972614,2023-11-25T22:23:34-06:00,1291,Shopify,placed,5411485024338,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1344805,1700905347,2023-11-25T03:42:27-06:00,1328,Shopify,placed,5299423903936,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019391,1700813019,2023-11-24T02:03:39-06:00,1291,Shopify,placed,5401468895314,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
1342589,1700127965,2023-11-16T03:46:05-06:00,1328,Shopify,placed,5280704790720,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
997647,1699899673,2023-11-13T12:21:13-06:00,1291,Shopify,placed,5374090903634,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1019392,1699603539,2023-11-10T02:05:39-06:00,1291,Shopify,placed,5366988832850,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997648,1698679921,2023-10-30T10:32:01-05:00,1291,Shopify,placed,5345749041234,6013262266450,Shopify,6834703040594,39832305336402,Coffee,Lattitude Wednesday,1,45,0,45
1344806,1698482705,2023-10-28T03:45:05-05:00,1328,Shopify,placed,5256855093440,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019393,1698390908,2023-10-27T02:15:08-05:00,1291,Shopify,placed,5340248375378,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997649,1697988270,2023-10-22T10:24:30-05:00,1291,Shopify,placed,5331705725010,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1342590,1697429374,2023-10-15T23:09:34-05:00,1328,Shopify,placed,5242058735808,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
1019394,1697181190,2023-10-13T02:13:10-05:00,1291,Shopify,placed,5317997985874,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997650,1696437230,2023-10-04T11:33:50-05:00,1291,Shopify,placed,5304787042386,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
997651,1696437143,2023-10-04T11:32:23-05:00,1291,Shopify,placed,5304785174610,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
997652,1696122108,2023-09-30T20:01:48-05:00,1291,Shopify,placed,5299066110034,6013262266450,Shopify,7163312734290,40541485269074,Coffee,Lattitude Wednesday,1,28,0,28
1344807,1696062743,2023-09-30T03:32:23-05:00,1328,Shopify,placed,5223721140416,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019395,1695971554,2023-09-29T02:12:34-05:00,1291,Shopify,placed,5296219291730,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997654,1695657526,2023-09-25T10:58:46-05:00,1291,Shopify,placed,5290776821842,6013262266450,Shopify,10327434377,1759255003145,Coffee,Lattitude Coffees,1,19.5,0,19.5
997653,1695657526,2023-09-25T10:58:46-05:00,1291,Shopify,placed,5290776821842,6013262266450,Shopify,7163312734290,40541485269074,Coffee,Lattitude Wednesday,1,28,0,28
997655,1695583627,2023-09-24T14:27:07-05:00,1291,Shopify,placed,5289498181714,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1019396,1694762143,2023-09-15T02:15:43-05:00,1291,Shopify,placed,5275511455826,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997656,1694446262,2023-09-11T10:31:02-05:00,1291,Shopify,placed,5270306160722,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1342591,1694247574,2023-09-09T03:19:34-05:00,1328,Shopify,placed,5199989178560,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
1344808,1693642820,2023-09-02T03:20:20-05:00,1328,Shopify,placed,5191295336640,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019397,1693552803,2023-09-01T02:20:03-05:00,1291,Shopify,placed,5253689999442,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997657,1692977765,2023-08-25T10:36:05-05:00,1291,Shopify,placed,5243213447250,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1019398,1692342813,2023-08-18T02:13:33-05:00,1291,Shopify,placed,5233107173458,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997658,1692056049,2023-08-14T18:34:09-05:00,1291,Shopify,placed,5228469125202,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
997659,1691335734,2023-08-06T10:28:54-05:00,1291,Shopify,placed,5216551403602,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1344809,1691223576,2023-08-05T03:19:36-05:00,1328,Shopify,placed,5156908236992,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019399,1691133180,2023-08-04T02:13:00-05:00,1291,Shopify,placed,5213463838802,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
1351070,1690917926,2023-08-01T14:25:26-05:00,1328,Shopify,placed,5152335364288,2118172704883,Shopify,7401715597504,43284655767744,Bundles,Looking Glass Coffee Store,1,54,0,54
1351069,1690917926,2023-08-01T14:25:26-05:00,1328,Shopify,placed,5152335364288,2118172704883,Shopify,7440486826176,43424929448128,Bundles,Looking Glass Coffee Store,1,60,0,60
997660,1690125523,2023-07-23T10:18:43-05:00,1291,Shopify,placed,5196946178130,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
1019400,1689923554,2023-07-21T02:12:34-05:00,1291,Shopify,placed,5194029858898,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
1351073,1689105563,2023-07-11T14:59:23-05:00,1328,Shopify,placed,5126641483968,2118172704883,Shopify,1077700853875,16451284762739,Espresso,Looking Glass,1,20.5,0,20.5
1351072,1689105563,2023-07-11T14:59:23-05:00,1328,Shopify,placed,5126641483968,2118172704883,Shopify,4557007454323,31935442616435,Espresso,Looking Glass,1,20.5,0,20.5
1351071,1689105563,2023-07-11T14:59:23-05:00,1328,Shopify,placed,5126641483968,2118172704883,Shopify,7426001666240,43367165788352,Honduras,Looking Glass Coffee Store,1,24,0,24
1342592,1689099469,2023-07-11T13:17:49-05:00,1328,Shopify,placed,5126534234304,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
997661,1688777896,2023-07-07T19:58:16-05:00,1291,Shopify,placed,5176407162962,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,18.5,0,37
